#Stand	Length (m)	Cable type	Est. attenuation at 50 MHz (dBm)	Delay (ns)	Length (m)	Delay (ns)	Length (m)	Delay (ns)	Length (m)	Delay (ns)	Length (m)
283	1347	fiber dontcare 6602.941176 dontcare dontcare dontcare 6602.941176
257	1374	fiber dontcare 6735.294118 dontcare dontcare dontcare 6735.294118
286	1330	fiber dontcare 6519.607843 dontcare dontcare dontcare 6519.607843
258	1503	fiber dontcare 7367.647059 dontcare dontcare dontcare 7367.647059
272	1628	fiber dontcare 7980.392157 dontcare dontcare dontcare 7980.392157
288	1710	fiber dontcare 8382.352941 dontcare dontcare dontcare 8382.352941
287	1685	fiber dontcare 8259.803922 dontcare dontcare dontcare 8259.803922
268	701	fiber dontcare 3436.27451  dontcare dontcare dontcare 3436.27451
266	754	fiber dontcare 3696.078431 dontcare dontcare dontcare 3696.078431
281	792	fiber dontcare 3882.352941 dontcare dontcare dontcare 3882.352941
282	877	fiber dontcare 4299.019608 dontcare dontcare dontcare 4299.019608
278	1064	fiber dontcare 5215.686275 dontcare dontcare dontcare 5215.686275
267	1003	fiber dontcare 4916.666667 dontcare dontcare dontcare 4916.666667
269	1177	fiber dontcare 5769.607843 dontcare dontcare dontcare 5769.607843
275	1377	fiber dontcare 6750        dontcare dontcare dontcare 6750
279	1480	fiber dontcare 7254.901961 dontcare dontcare dontcare 7254.901961
277	1272	fiber dontcare 6235.294118 dontcare dontcare dontcare 6235.294118
261	1581	fiber dontcare 7750        dontcare dontcare dontcare 7750
276	971	fiber dontcare 4759.803922 dontcare dontcare dontcare 4759.803922
273	1093	fiber dontcare 5357.843137 dontcare dontcare dontcare 5357.843137
285	867	fiber dontcare 4250        dontcare dontcare dontcare 4250
271	1221	fiber dontcare 5985.294118 dontcare dontcare dontcare 5985.294118
259	1385	fiber dontcare 6789.215686 dontcare dontcare dontcare 6789.215686
264	1461	fiber dontcare 7161.764706 dontcare dontcare dontcare 7161.764706
300	432	fiber dontcare 2117.647059 dontcare dontcare dontcare 2117.647059
299	586	fiber dontcare 2872.54902  dontcare dontcare dontcare 2872.54902
323	456	fiber dontcare 2235.294118 dontcare dontcare dontcare 2235.294118
324	482	fiber dontcare 2362.745098 dontcare dontcare dontcare 2362.745098
301	642	fiber dontcare 3147.058824 dontcare dontcare dontcare 3147.058824
302	675	fiber dontcare 3308.823529 dontcare dontcare dontcare 3308.823529
305	486	fiber dontcare 2382.352941 dontcare dontcare dontcare 2382.352941
306	573	fiber dontcare 2808.823529 dontcare dontcare dontcare 2808.823529
295	915	fiber dontcare 4485.294118 dontcare dontcare dontcare 4485.294118
344	1035	fiber dontcare 5073.529412 dontcare dontcare dontcare 5073.529412
296	934	fiber dontcare 4578.431373 dontcare dontcare dontcare 4578.431373
336	1008	fiber dontcare 4941.176471 dontcare dontcare dontcare 4941.176471
316	1503	fiber dontcare 7367.647059 dontcare dontcare dontcare 7367.647059
315	1621	fiber dontcare 7946.078431 dontcare dontcare dontcare 7946.078431
292	1384	fiber dontcare 6784.313725 dontcare dontcare dontcare 6784.313725
335	1350	fiber dontcare 6617.647059 dontcare dontcare dontcare 6617.647059
342	1491	fiber dontcare 7308.823529 dontcare dontcare dontcare 7308.823529
341	1997	fiber dontcare 9789.215686 dontcare dontcare dontcare 9789.215686
290	1563	fiber dontcare 7661.764706 dontcare dontcare dontcare 7661.764706
289	1780	fiber dontcare 8725.490196 dontcare dontcare dontcare 8725.490196
348	1512	fiber dontcare 7411.764706 dontcare dontcare dontcare 7411.764706
347	1777	fiber dontcare 8710.784314 dontcare dontcare dontcare 8710.784314
291	1613	fiber dontcare 7906.862745 dontcare dontcare dontcare 7906.862745
319	1698	fiber dontcare 8323.529412 dontcare dontcare dontcare 8323.529412
320	1734	fiber dontcare 8500        dontcare dontcare dontcare 8500
351	1764	fiber dontcare 8647.058824 dontcare dontcare dontcare 8647.058824
352	1900	fiber dontcare 9313.72549  dontcare dontcare dontcare 9313.72549
312	2006	fiber dontcare 9833.333333 dontcare dontcare dontcare 9833.333333
349	1861	fiber dontcare 9122.54902  dontcare dontcare dontcare 9122.54902
321	2222	fiber dontcare 10892.15686 dontcare dontcare dontcare 10892.15686
311	837	fiber dontcare 4102.941176 dontcare dontcare dontcare 4102.941176
307	846	fiber dontcare 4147.058824 dontcare dontcare dontcare 4147.058824
338	942	fiber dontcare 4617.647059 dontcare dontcare dontcare 4617.647059
310	1171	fiber dontcare 5740.196078 dontcare dontcare dontcare 5740.196078
337	956	fiber dontcare 4686.27451  dontcare dontcare dontcare 4686.27451
343	1095	fiber dontcare 5367.647059 dontcare dontcare dontcare 5367.647059
308	1025	fiber dontcare 5024.509804 dontcare dontcare dontcare 5024.509804
340	1142	fiber dontcare 5598.039216 dontcare dontcare dontcare 5598.039216
339	1165	fiber dontcare 5710.784314 dontcare dontcare dontcare 5710.784314
332	1208	fiber dontcare 5921.568627 dontcare dontcare dontcare 5921.568627
314	1140	fiber dontcare 5588.235294 dontcare dontcare dontcare 5588.235294
313	1282	fiber dontcare 6284.313725 dontcare dontcare dontcare 6284.313725
309	1378	fiber dontcare 6754.901961 dontcare dontcare dontcare 6754.901961
331	1603	fiber dontcare 7857.843137 dontcare dontcare dontcare 7857.843137
326	1465	fiber dontcare 7181.372549 dontcare dontcare dontcare 7181.372549
325	1694	fiber dontcare 8303.921569 dontcare dontcare dontcare 8303.921569
334	1622	fiber dontcare 7950.980392 dontcare dontcare dontcare 7950.980392
333	1875	fiber dontcare 9191.176471 dontcare dontcare dontcare 9191.176471
330	1408	fiber dontcare 6901.960784 dontcare dontcare dontcare 6901.960784
329	1556	fiber dontcare 7627.45098  dontcare dontcare dontcare 7627.45098
297	1716	fiber dontcare 8411.764706 dontcare dontcare dontcare 8411.764706
298	1838	fiber dontcare 9009.803922 dontcare dontcare dontcare 9009.803922
327	1294	fiber dontcare 6343.137255 dontcare dontcare dontcare 6343.137255
328	1474	fiber dontcare 7225.490196 dontcare dontcare dontcare 7225.490196
350	1291	fiber dontcare 6328.431373 dontcare dontcare dontcare 6328.431373
322	1512	fiber dontcare 7411.764706 dontcare dontcare dontcare 7411.764706
318	316	fiber dontcare 1549.019608 dontcare dontcare dontcare 1549.019608
317	444	fiber dontcare 2176.470588 dontcare dontcare dontcare 2176.470588
303	442	fiber dontcare 2166.666667 dontcare dontcare dontcare 2166.666667
345	56	fiber dontcare 274.5098039 dontcare dontcare dontcare 274.5098039
304	196	fiber dontcare 960.7843137 dontcare dontcare dontcare 960.7843137
346	353	fiber dontcare 1730.392157 dontcare dontcare dontcare 1730.392157
293	450	fiber dontcare 2205.882353 dontcare dontcare dontcare 2205.882353
294	537	fiber dontcare 2632.352941 dontcare dontcare dontcare 2632.352941
361	65	fiber dontcare 318.627451  dontcare dontcare dontcare 318.627451
358	190	fiber dontcare 931.372549  dontcare dontcare dontcare 931.372549
357	303	fiber dontcare 1485.294118 dontcare dontcare dontcare 1485.294118
359	317	fiber dontcare 1553.921569 dontcare dontcare dontcare 1553.921569
355	426	fiber dontcare 2088.235294 dontcare dontcare dontcare 2088.235294
364	583	fiber dontcare 2857.843137 dontcare dontcare dontcare 2857.843137
356	337	fiber dontcare 1651.960784 dontcare dontcare dontcare 1651.960784
363	472	fiber dontcare 2313.72549  dontcare dontcare dontcare 2313.72549
362	669	fiber dontcare 3279.411765 dontcare dontcare dontcare 3279.411765
360	844	fiber dontcare 4137.254902 dontcare dontcare dontcare 4137.254902
354	3226	fiber dontcare 15813.72549 dontcare dontcare dontcare 15813.72549
353	3441	fiber dontcare 16867.64706 dontcare dontcare dontcare 16867.64706
