#Stand	Length (m)	Cable type	Est. attenuation at 50 MHz (dBm)	Delay (ns)	Length (m)	Delay (ns)	Length (m)	Delay (ns)	Length (m)	Delay (ns)	Length (m)
61	88.90	CNT-240-DB	5.51	363.21	89.29	361.27	88.81	366.50	90.10	364.58	89.62
62	85.90	CNT-240-DB	5.33	351.35	86.37	349.61	85.95	354.80	87.22	352.99	86.78
63	62.70	CNT-240-DB	3.89	256.97	63.17	255.61	62.84	257.95	63.41	256.58	63.08
64	64.50	CNT-240-DB	4.00	263.04	64.66	261.72	64.34	266.30	65.46	264.93	65.13
65	241.00	CNT-240-DB	14.94	982.97	241.64	978.04	240.43	994.28	244.42	989.19	243.17
66	232.90	CNT-240-DB	14.44	953.71	234.45	948.94	233.28	955.54	234.90	950.58	233.68
67	223.00	CNT-240-DB	13.83	909.67	223.63	905.02	222.48	921.30	226.48	916.47	225.30
68	219.60	CNT-240-DB	13.62	894.68	219.94	890.06	218.80	902.34	221.82	897.63	220.66
69	208.20	CNT-240-DB	12.91	848.67	208.63	846.21	208.02	852.59	209.59	850.30	209.03
70	193.30	CNT-240-DB	11.98	799.81	196.62	795.49	195.56	799.52	196.55	795.28	195.50
71	175.70	CNT-240-DB	10.89	722.14	177.52	717.97	176.50	721.97	177.48	717.69	176.43
72	170.20	CNT-240-DB	10.55	695.83	171.05	693.72	170.54	700.47	172.20	698.25	171.65
73	172.30	CNT-240-DB	10.68	706.34	173.64	702.65	172.73	711.16	174.82	707.53	173.93
74	164.30	CNT-240-DB	10.19	676.41	166.28	672.79	165.39	665.97	163.71	662.28	162.81
75	156.40	CNT-240-DB	9.70	639.88	157.30	636.67	156.51	645.40	158.66	642.10	157.85
76	147.30	CNT-240-DB	9.13	600.97	147.74	599.06	147.27	604.01	148.48	602.12	148.02
77	152.10	CNT-240-DB	9.43	619.93	152.40	616.65	151.59	623.46	153.27	620.15	152.45
78	146.20	CNT-240-DB	9.06	598.82	147.21	595.59	146.41	603.64	148.39	600.54	147.63
79	141.60	CNT-240-DB	8.78	575.85	141.56	572.81	140.81	582.25	143.13	579.24	142.39
80	138.00	CNT-240-DB	8.56	570.05	140.13	566.59	139.28	568.04	139.64	564.59	138.79
81	129.30	CNT-240-DB	8.02	527.49	129.67	524.85	129.02	530.92	130.52	528.20	129.85
82	123.00	CNT-240-DB	7.63	505.31	124.22	502.54	123.54	503.48	123.77	500.71	123.90
83	124.20	CNT-240-DB	7.70	508.67	125.05	506.12	124.42	511.28	125.69	508.58	125.03
84	122.00	CNT-240-DB	7.56	496.97	122.17	494.26	121.50	500.33	123.00	497.62	122.33
85	109.10	CNT-240-DB	6.76	443.71	109.08	441.27	108.48	444.55	109.28	442.07	108.67
86	110.40	CNT-240-DB	6.84	460.42	113.18	457.53	112.47	458.11	112.62	455.25	111.91
87	100.70	CNT-240-DB	6.24	409.26	100.61	407.14	100.09	415.82	102.22	413.70	101.70
